State,Group,Item Description,Description,Unit,Item Number
Idaho,Excavation,EXCAVATION,This work includes excavation performed under this contract pay item regardless of the material encountered.,CY,205-005A
Idaho,Excavation,EXCAVATION (TOPSOIL),This work includes excavation performed under this contract pay item regardless of the material encountered.,CY,205-005B
Idaho,Excavation,EXCAVATION ROCK,This work includes excavation performed under this contract pay item regardless of the material encountered.,CY,205-005B
Idaho,Excavation,CHANNEL CHANGE EXCAVATION,Channel change excavation will be measured only for excavation necessary to construct the channel or ditch from established bank elevation to flowline grade.,CY,205-025A
Idaho,Borrow,BORROW,Obtain borrow from designated or approved sources.,CY,205‐030A
Idaho,Base,"3/4"" AGGR TY A FOR BASE","Provide, place, and construct 1 or more courses of aggregate on a prepared surface.",TON,303-021A
Idaho,Base,"3/4"" AGGR TY B FOR BASE","Provide, place, and construct 1 or more courses of aggregate on a prepared surface.",TON,303-022A
Idaho,Base,"3/4"" AGGREGATE TYPE A FOR BASE","Provide, place, and construct 1 or more courses of aggregate on a prepared surface.",TON,303‐021A
Idaho,Base,"3/4"" AGGREGATE TYPE B FOR BASE","Provide, place, and construct 1 or more courses of aggregate on a prepared surface.",TON,303-022A
Idaho,Base,OPEN-GRADED BASE CLASS I,Construct 1 or more courses of open-graded base on a prepared surface.,TON,307‐010A
Idaho,Base,OPEN-GRADED BASE CLASS II,Construct 1 or more courses of open-graded base on a prepared surface.,TON,307‐011A
Idaho,Base,OPEN-GRADED BASE CLASS III,Construct 1 or more courses of open-graded base on a prepared surface.,TON,307‐012A
Idaho,Pavement,CONCRETE PAVEMENT,Construct a portland cement concrete pavement as specified.,SY,409-015A
Idaho,Pavement,"CONCRETE PAVEMENT (8"")",Construct a portland cement concrete pavement as specified.,SY,409-015A
Idaho,Pavement,"CONCRETE PAVEMENT (10"")",Construct a portland cement concrete pavement as specified.,SY,409-015A
Idaho,Pavement,"CONCRETE PAVEMENT (11"")",Construct a portland cement concrete pavement as specified.,SY,409-015A
Idaho,Pavement,CONCRETE PAVEMENT (1.0'),Construct a portland cement concrete pavement as specified.,SY,409-015A
Idaho,Pavement,"CONCRETE PAVEMENT (13"")",Construct a portland cement concrete pavement as specified.,SY,409-015A
Iowa,Excavation,"EXCAVATION, CL 10, CHANNEL","Class 10 (Roadway & Borrow, Unsuitable, Waste, Stockpile, and Channel)",CY,2104-2710020
Iowa,Excavation,"EXCAVATION, CL 10, RDWY+BORROW","Class 10 (Roadway & Borrow, Unsuitable, Waste, Stockpile, and Channel)",CY,2102-2710070
Iowa,Excavation,"EXCAVATION, CL 12, CHANNEL","Class 12 (Roadway & Borrow, Channel, and Waste)",CY,2104-2712020
Iowa,Excavation,"EXCAVATION, CL 12, RDWY+BORROW","Class 12 (Roadway & Borrow, Channel, and Waste)",CY,2102-2712070
Iowa,Excavation,"EXCAVATION, CL 13, CHANNEL","Class 13 (Roadway & Borrow, Channel, and Waste)",CY,2104-2713020
Iowa,Excavation,"EXCAVATION, CL 13, RDWY+BORROW","Class 13 (Roadway & Borrow, Channel, and Waste)",CY,2102-2713070
Iowa,Excavation,ROCK EXCAVATION,Boulders or sedimentary deposits that cannot be removed from the trench without continuous use of pneumatic tools or blasting.,CY,2552-0000140
Iowa,Embankment,EMBANKMENT-IN-PLACE,,CY,2102-2625000
Iowa,Embankment,"EMBANKMENT-IN-PLACE, CONTRACTOR FURNISH",,CY,2102-2625001
Iowa,Topsoil,"TOPSOIL, FURN+SPREAD",,CY,2105-8425005
Iowa,Topsoil,"TOPSOIL, SPREAD",,CY,2105-8425011
Iowa,Topsoil,"TOPSOIL, STRIP, SALVAGE+SPREAD",,CY,2105-8425015
Iowa,Topsoil,"TOPSOIL, STRIP+STKP",,CY,2105-8425020
